city,place_id,name,user_rating_total
Hà Nội,ChIJSXwdOKOrNTERNylYj9mnIbU,Imperial Citadel of Thang Long,17562
Hà Nội,ChIJm3YS_eqrNTERUWy7787s8sc,Sword Lake Octagon House,204
Hà Nội,ChIJp0o4Er6rNTERjlTif_IXU1k,Hanoi Old Quarter,8508
Hà Nội,ChIJxZVbuqKrNTER4I2XSRfxbLg,Hanoi Flagtower,2124
Hà Nội,ChIJVUvVbACrNTERzY_ZFRXbAKc,Xe 2 tầng Hà Nội - Hop on hop off bus Vietnam Sightseeing,595
Hà Nội,ChIJqyT4JJmrNTERSCX5Yt9nwiY,Khue Van Cac,354
Hà Nội,ChIJ3yuzk377yzYRQs7IB91AZKA,Thung Lũng Sủng Là,270
Hà Nội,ChIJiUJFE8CrNTERHK060qWnXk4,Thang Long Water Puppet Theatre,20504
Hà Nội,ChIJi3I61wSsNTEREPGWbUmEBoY,VinKE & Thủy cung Times City,11370
Hà Nội,ChIJMRqjK5WrNTERYMjmmwkrGOQ,Turtle Tower,490
Hà Nội,ChIJF13BXqGrNTERTE3hz8KFDmI,Ho Chi Minh's Mausoleum,19782
Hà Nội,ChIJxy3jWWSrNTERaa4h1H26Qis,Indira Gandhi Park,3190
Hà Nội,ChIJ1ySWYn6rNTERznB6elZTqpI,Quang Trung Monument,217
Hà Nội,ChIJwYrhVWeqNTERWKke9kRAasc,Bãi Đá Sông Hồng,6472
Hà Nội,ChIJ8yTc1xirNTER-6v9RI-w7jQ,Ho Tay Water Park,8407
Hà Nội,ChIJp56AAMCrNTERHTeCAuwWJ7s,Ngoc Son Temple,12188
Hà Nội,ChIJZ73nJpmrNTERHt_VdIgHDlg,Temple Of Literature,20404
Hà Nội,ChIJ7xTdBdACNTERJuHqUlysKWM,Khu du lịch sinh thái Bản Rõm,1457
Hà Nội,ChIJtyC7RkOrNTER74k3wfuut_g,Hanoi Train Street,851
Hà Nội,ChIJZTU9yIOrNTERvPnGMXnLfkU,Khu Khảo Cổ Hoàng Thành Thăng Long,152
Hà Nội,ChIJ1zQSZumrNTERkijOtf97SX0,Vietnam National Museum of History,3788
Hà Nội,ChIJAcpzbwCrNTERSsISiGsRwDQ,Bảo Tàng I-Museum,257
Hà Nội,ChIJE109t6KrNTERsaAoYzbvoKY,Vietnam Military History Museum,11014
Hà Nội,ChIJb-sdLqCrNTER0UkLBD-JnZQ,Ho Chi Minh Museum,11055
Hà Nội,ChIJxwnWy6usNTERS_TY4hfsH2s,Hanoi Museum,4379
Hà Nội,ChIJIbhTQzmrNTERHBoID7tQyUc,Vietnam Museum of Ethnology,14370
Hà Nội,ChIJld5RqparNTERVK8x7gvhAZc,Hoa Lo Prison,19916
Hà Nội,ChIJK111AwurNTERB8u6Ap8YDjg,B52 Victory Museum,1726
Hà Nội,ChIJ2yQfiStTNDEROH7iCIvLRSs,Ho Chi Minh Trail Museum,610
Hà Nội,ChIJp4s0qe6rNTER9xX9MObmmnM,Geology Museum,190
Hà Nội,ChIJJ2JpFQCrNTERqi11c3UpJjg,Vietnamese Women's Museum,5997
Hà Nội,ChIJ6wlG3fOqNTERporAUcwXt0g,Vietnam Museum of Literature,301
Hà Nội,ChIJ9dt7lJirNTERTqzApIMfQv0,Vietnam National Fine Arts Museum,4343
Hà Nội,ChIJ-c1h5OKrNTERqQdJWUxwFxE,Vietnam National Museum of Nature,802
Hà Nội,ChIJ46E0UJGrNTERWZKWlKdAI3s,Hanoi Police Museum,366
Hà Nội,ChIJ28hXpDqrNTERKIuEQpbXnFw,Museum of Armored Forces,224
Hà Nội,ChIJ-0vLUYmpNTERj--T_jVut1E,Bảo tàng Vũ Khí,257
Hà Nội,ChIJyVBDX32sNTERWF7ITQqdcrY,Air Force and Air Defense Museum,2599
Hà Nội,ChIJ0QWxN5SvNTERBKzau0z-YGI,Bat Trang Pottery Museum,2562
Hà Nội,ChIJO1EacE5UNDERToLZ1qYJ0zM,Nguyen Van Huyen Museum,205
Hà Nội,ChIJlx8obZWrNTERa7Mn6ghQJ6Q,Ba Da Pagoda,384
Hà Nội,ChIJfVZXRpGrNTERbkZTVxqHSD0,Chùa Quán Sứ,3178
Hà Nội,ChIJwyFZi6WrNTER76sqY7OcMjE,Quan Thanh Temple,4752
Hà Nội,ChIJIVT_K7-rNTERUlFvpdPvatA,Chùa Cầu Đông,341
Hà Nội,ChIJcZi6rpSrNTERK8dLuF715_0,Vu Thach Pagoda,152
Hà Nội,ChIJXzkVIoOrNTERN8lmzUCgNDw,Chùa Linh Ứng,239
Hà Nội,ChIJ_WxOh-aqNTERU3pju0DhjDE,Van Nien pagoda,1950
Hà Nội,ChIJlU5xE06sNTERaVEkkwfV4YI,Phap Van Pagoda,1469
Hà Nội,ChIJz0aH0VyrNTERrhRrKTcIFxk,Lang Pagoda,3049
Hà Nội,ChIJ7XWEcqGrNTERrsLf6W8259s,One Pillar Pagoda,9851
Hà Nội,ChIJbcDNnpWrNTERNakK33Z9D-c,Ly Trieu Quoc Su Pagoda,235
Hà Nội,ChIJ9Y3KR7-rNTERawQ7FeFv5gA,Bach Ma Temple,1211
Hà Nội,ChIJA9hjcdurNTER__fyEGdqfGM,Bodhi Temple,627
Hà Nội,ChIJXyaMWLerNTEROKuv7DiYx4Q,Hồng Phúc Tự - Hòe Nhai Pagoda,503
Hà Nội,ChIJr7enHa-rNTERbivpCTqoenY,Tran Quoc Pagoda,46046
Hà Nội,ChIJMciE-GmrNTERfjkshGzwPNE,Voi Phuc Temple,340
Hà Nội,ChIJuerTwf2qNTERnvjmhZRDyik,Phủ Tây Hồ,4709
Hà Nội,ChIJZTX8EpurNTER86C93WYuml0,Linh Quang Pagoda,147
Hà Nội,ChIJn6akffSrNTER_7eJtAGWRNA,Đền Hai Bà Trưng,155
Hà Nội,ChIJtbUhu4urNTERyKCd_gsLRIg,Chùa Vân Hồ,109
Hà Nội,ChIJjcSe2iKrNTERdmx-UM8RZIw,Hidden Gem Cafe Hanoi,3395
Hà Nội,ChIJ0Q148LKrNTERdhiFIz4q2uE,Bancông Cafe & Restaurant,6010
Hà Nội,ChIJE0qvuI-rNTERHnbzOvlnOBc,Cafe Minh,1560
Hà Nội,ChIJ8UQioZWrNTERJWvlrHkLfjc,Hanoi Coffee Culture,2309
Hà Nội,ChIJJeVPyJ6rNTERETLm3mY47Rg,Culture Café Hanoi,3059
Hà Nội,ChIJDy3nVj2rNTERQzd4wciDd9o,Nola Cafe & Bar,447
Hà Nội,ChIJcdXI_KGrNTER5uand37W00w,Peace Lounge & cafe,408
Hà Nội,ChIJtyDynxCrNTERYA2Y6Yq_v30,Nhà Cafe - Hà Nội,149
Hà Nội,ChIJDccHTHqrNTERtVxTcZQjv_o,Timeline Coffee & Restaurant,5993
Hà Nội,ChIJXTOF7sCrNTERY3MOxYpAo_w,Cafe Giảng,14753
Hà Nội,ChIJHymwv3arNTERZAz3sLYXSp0,Lermalermer,682
Hà Nội,ChIJ32cXs5erNTERsqdVf0cP-mg,Xofa Cafe,5778
Hà Nội,ChIJ5Q3WZaWrNTERYpWt95xQn2Q,THAIYEN CAFE Quán Thánh,2571
Hà Nội,ChIJxwL4R8CrNTERajhouRLbFHA,Cà Phê Lâm,908
Hà Nội,ChIJG54cRgCrNTERVZ6BH5uS0-E,All Day Coffee,1533
Hà Nội,ChIJzRpnsbirNTERmLirME12dm0,Avoccino,281
Hà Nội,ChIJgWaawsCrNTER216qul6ubmY,Hanoi Egg Coffee,514
Hà Nội,ChIJl7OUwr-rNTERr7RCHxAFMNU,The Note Coffee,5716
Hà Nội,ChIJYYIzpdyrNTERs7ZW8A1c6Bw,Bonjour Cafe,778
Hà Nội,ChIJu5tHf5isNTERe2kcb_9SV3g,Trill Rooftop Cafe,2235
Hà Nội,ChIJO5IdMywDNTERz2UHyqkyICQ,Amaya Retreat,301
Hà Nội,ChIJXwljdNFdNDERXKhiPyH4chk,Thang Mây Village Resort,126
Hà Nội,ChIJzU5HyKE6NDERKLlBg6jmrq8,Serena Resort Kim Bôi,5336
Hà Nội,ChIJo-2_qLVhNDERZoHE506UFSc,Amour Resort Bavi,1175
Hà Nội,ChIJzdEkFof1NDERy4aaO7iKr9E,Glory Resort,724
Hà Nội,ChIJo8A-1jdFNDER-HeAEBO4dE4,Nala Boutique Retreat,419
Hà Nội,ChIJJxco1s1fNDERZt7zu4qb1dg,Tan Da Spa Resort,1212
Hà Nội,ChIJ9Xi79y5fNDERGj3QEO-n2Z0,Quảng Tây Resort 阿军山西度假村,248
Hà Nội,ChIJ2ZaOBINgNDERN-P36aHeTNg,Khu Du lịch sinh thái Long Việt,456
Hà Nội,ChIJo_7lepldNDERU0G-ADB8onc,My Home Resort,194
Hà Nội,ChIJqbt13lphNDERTqiqWhHim0I,Bavi Resort,851
Hà Nội,ChIJ4Z2208JfNDERlYK9QY-TVhc,Nature Key Retreat Đồng Mô,103
Hà Nội,ChIJg6NVtI5cNDER-_TMQY8aQL0,Xanh Villas Resort Hòa Lạc,959
Hà Nội,ChIJ-87inhlZNDER3aGkgBn9ISA,Tomodachi Retreat Lang Mit,596
Hà Nội,ChIJFXsBIFUdNTERewCIi-YUEaY,Nhà Bên Rừng - U Lesa Retreat,754
Hà Nội,ChIJVa-N5hxdNDERiJgnoDatTAc,Suối Ngọc Retreat,126
